id,license,file_name,height,width,area,iscrowd,x_min_bb,y_min_bb,width_bb,heigth_bb,category_id,supercategory,name
252219,4,000000252219.jpg,428,640,3189.4047,0,337.06,44.11,61.36,57.17,10,outdoor,traffic light
87038,1,000000087038.jpg,480,640,6443,1,1,190,638,101,1,person,person
502136,3,000000502136.jpg,423,500,794.44335,0,48.48,347.86,26.55,46.74,86,indoor,vase
491497,3,000000491497.jpg,500,375,29742.3121,0,165.77,284.66,190.26,215.34,63,furniture,couch
184791,1,000000184791.jpg,500,640,293.54785,0,267.05,269.84,24.04,15.27,55,food,orange
181666,3,000000181666.jpg,425,640,4567.38875,0,481.11,299.69,73.72,103.56,20,animal,sheep
565778,4,000000565778.jpg,400,640,62.96685,0,265.16,232.53,6.74,15.67,1,person,person
555705,5,000000555705.jpg,371,640,51727.2594,0,0,51.88,331.74,253.21,17,animal,cat
500663,4,000000500663.jpg,480,640,34.79065,0,442.07,323.73,9.05,6.15,21,animal,cow
25560,3,000000025560.jpg,480,640,3504.4672,0,0.46,423.5,78.27,56.5,47,kitchen,cup
301867,2,000000301867.jpg,480,640,1360.42295,0,242.45,348.7,29.57,68.87,31,accessory,handbag
312421,3,000000312421.jpg,427,640,12135.6882,0,529.48,0,110.52,139,28,accessory,umbrella
356427,3,000000356427.jpg,427,640,794.1226,0,389.58,315.59,55.84,34,33,accessory,suitcase
360661,1,000000360661.jpg,480,640,585.5616,0,0,183.53,22.31,47.34,1,person,person
266409,3,000000266409.jpg,480,640,979.44315,0,372.79,440.44,54.21,39.56,35,sports,skis
80671,4,000000080671.jpg,427,640,27713.7726,0,219.71,117.18,202.51,252.19,1,person,person
577539,4,000000577539.jpg,334,500,16609.67545,0,0.87,2.6,170.03,325.33,1,person,person
476258,1,000000476258.jpg,367,640,6746.2448,0,270.16,250.29,236.65,97.18,41,sports,skateboard
66523,3,000000066523.jpg,640,480,119132.4731,0,1.43,299.84,430.5,327.17,65,furniture,bed
199551,3,000000199551.jpg,428,640,17304.22985,0,123.48,152.1,299.55,101.44,1,person,person
473237,4,000000473237.jpg,426,640,14206.18405,0,128.28,265.17,225.92,120.62,59,food,pizza
78915,1,000000078915.jpg,640,481,1675.039,0,38.75,0,76.69,46.36,1,person,person
57597,1,000000057597.jpg,426,640,9758,1,21,85,615,82,1,person,person
383384,2,000000383384.jpg,360,640,8564.55695,0,466.77,198.43,84.98,161.57,1,person,person
524456,1,000000524456.jpg,480,640,4719.37445,0,517.16,121.89,80.61,83.9,31,accessory,handbag
213086,3,000000213086.jpg,500,375,1573.3025,0,261.91,94.16,30.41,60.08,86,indoor,vase
34873,4,000000034873.jpg,480,640,1843.90725,0,394.48,151.79,44.4,49.04,72,electronic,tv
117425,5,000000117425.jpg,426,640,8184.20345,0,0,191.38,80.77,131.24,47,kitchen,cup
504711,2,000000504711.jpg,483,640,103471.9148,0,144.68,0.54,432.96,290.46,61,food,cake
459153,2,000000459153.jpg,640,427,1199.1707,0,328.84,403.85,37.87,69.52,27,accessory,backpack
223130,1,000000223130.jpg,640,425,28303.35405,0,136.13,146.04,183.77,450.67,25,animal,giraffe
410428,3,000000410428.jpg,427,640,83.6124,0,19.5,130.18,12.23,8.64,20,animal,sheep
338428,3,000000338428.jpg,366,640,1242.4374,0,549.44,82.54,90.56,35.55,8,vehicle,truck
360137,5,000000360137.jpg,640,640,38033.58555,0,406.92,342.05,233.08,297.95,1,person,person
512836,1,000000512836.jpg,640,480,814.2527,0,81.29,115.56,27.36,63.48,31,accessory,handbag
84477,4,000000084477.jpg,427,640,233.9231,0,283.28,215.2,16.75,25.77,1,person,person
181859,4,000000181859.jpg,640,426,22139.0473,0,64.72,267.27,293.39,277.57,81,appliance,sink
177015,4,000000177015.jpg,480,640,22452.06875,0,96.25,1.88,108.75,244.99,82,appliance,refrigerator
288042,4,000000288042.jpg,480,640,2200.2519,0,530.12,162.06,96.72,59.57,28,accessory,umbrella
