id,license,file_name,height,width,coco_url,flickr_url,area,iscrowd,x_min_bb,y_min_bb,width_bb,heigth_bb,category_id,supercategory,name
1,0,0bed0871-d9d3-4733-bf2c-0babeae26ce6.png,900,1600,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther009_trimmed.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther009_trimmed.png,1440000,0,0,0,1600,900,1,,Actinernus
2,0,5227e732-a317-4ebd-9b46-f98b527b42f2.png,900,1600,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther007_trimmed.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther007_trimmed.png,775614,0,334,40,939,826,1,,Actinernus
3,0,2eba10c0-9b82-4d53-addb-d3ca66db27da.png,900,1600,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther005_trimmed.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther005_trimmed.png,1268100,0,0,0,1409,900,1,,Actinernus
4,0,3521246e-216f-4161-989b-a078a706c149.png,900,1600,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther006_trimmed.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther006_trimmed.png,1410981,0,10,-2,1573,897,1,,Actinernus
5,0,32b449e8-3bd0-4fe7-8387-522375a2272f.png,900,1600,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther008_trimmed.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther008_trimmed.png,781781,0,113,118,1001,781,1,,Actinernus
6,0,43b393f0-13ea-4c61-88ed-29cd7d7becf0.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/277/04_14_43_10.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/277/04_14_43_10.png,3264,0,353,120,64,51,1,,Actinernus
7,0,5d16538c-7f51-4706-8adf-3b13030d2175.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/277/04_49_30_07.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/277/04_49_30_07.png,750,0,487,349,30,25,1,,Actinernus
8,0,6251beef-9d56-4b5d-a487-9588db4576da.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/277/04_50_47_19.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/277/04_50_47_19.png,420,0,268,307,21,20,1,,Actinernus
9,0,f2925e07-9a47-40c1-b93e-e062e78b62d8.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/277/05_03_47_11.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/277/05_03_47_11.png,2580,0,304,83,60,43,1,,Actinernus
10,0,4234fccc-07f4-4dc1-b45f-6cbd887e1258.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/277/05_16_58_21.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/277/05_16_58_21.png,1026,0,108,330,38,27,1,,Actinernus
11,0,1748fcba-0a52-4f4e-9a6a-8dc753817e0c.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/277/05_38_21_26.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/277/05_38_21_26.png,1120,0,177,249,32,35,1,,Actinernus
13,0,627d3d96-547d-439f-a9fa-d3e0acf47615.png,486,715,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/278/05_12_07_05.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/278/05_12_07_05.png,3780,0,266,126,63,60,1,,Actinernus
