id,license,file_name,rights_holder,height,width,area,iscrowd,X_bb,Y_bb,width_bb,heigth_bb,category_id,supercategory,name
14288,3,Amphibia/Acris_crepitans/0411a69c7bbab03eb5fa6a1b5ed2d5f9.jpg,monteith1024,800,450,19303,0,134,288,194,199,153,Amphibia,Acris_crepitans
14290,3,Amphibia/Acris_crepitans/ff2b73faee31454cf9485c58559e6769.jpg,twisniewski,800,600,67280,0,16,436,464,290,153,Amphibia,Acris_crepitans
14295,3,Amphibia/Acris_crepitans/8e4bd3c9cdf26f650f9bc635fbc701a8.jpg,Rolling_Meadows_Farm,534,800,33824,0,220,156,302,224,153,Amphibia,Acris_crepitans
14297,3,Amphibia/Acris_crepitans/4d76ae5dd119e71dd2b50a662e5c06cc.jpg,jennyliu,600,800,30940,0,205,295,340,182,153,Amphibia,Acris_crepitans
14300,3,Amphibia/Acris_crepitans/b4b3c847169e10983cd969ff28ade481.jpg,kathyli216,598,800,7098,0,330,252,91,156,153,Amphibia,Acris_crepitans
14304,3,Amphibia/Acris_crepitans/8e93cae331575b5b0237628e4cfc3bb0.jpg,Raul_Urgelles,579,800,7546.5,0,335,224,129,117,153,Amphibia,Acris_crepitans
14305,3,Amphibia/Acris_crepitans/0479986ce1a9f7b0d97c7afcd797fb2a.jpg,bealeiderman,600,800,51291,0,211,181,369,278,153,Amphibia,Acris_crepitans
14306,3,Amphibia/Acris_crepitans/cac640c7387c8046f101d888a87d9926.jpg,Carless_Dance,574,800,56985,0,128,90,435,262,153,Amphibia,Acris_crepitans
14310,3,Amphibia/Acris_crepitans/d31208e95e283863e7f347094d8c8579.jpg,kevinemetcalf,579,800,52761,0,154,127,409,258,153,Amphibia,Acris_crepitans
420572,6,Amphibia/Acris_crepitans/1ea2eef86d704062ea07d794060a4e92.jpg,Jody_Shugart,450,800,8826.5,0,273,171,139,127,153,Amphibia,Acris_crepitans
35718,3,Amphibia/Ambystoma_macrodactylum/3a9728c3e8472bd2dcabe5479ef2735b.jpg,sarahnwilson,601,800,76296,0,20,191,748,204,397,Amphibia,Ambystoma_macrodactylum
35723,3,Amphibia/Ambystoma_macrodactylum/f3377773f0ea857d26aae95d63bf6383.jpg,ejean22,600,800,20154.5,0,297,184,173,233,397,Amphibia,Ambystoma_macrodactylum
