id,license,file_name,rights_holder,height,width,area,iscrowd,X_bb,Y_bb,width_bb,heigth_bb,category_id,supercategory,name,link,
17937,3,Actinopterygii/Lepomis_macrochirus/6d51602a1e9549b57cfd77bcc097564d.jpg,lakekoshare,800,450,60300,0,0,245,450,268,174,Actinopterygii,Lepomis_macrochirus,,
17940,3,Actinopterygii/Lepomis_macrochirus/58df2e2c87642e510a001006290b5ab9.jpg,krechmer,600,800,95480,0,92,0,434,440,174,Actinopterygii,Lepomis_macrochirus,,199
17942,3,Actinopterygii/Lepomis_macrochirus/d4434975cafd5cd20f464f533dcec113.jpg,jdickson3,640,800,83888,0,161,119,428,392,174,Actinopterygii,Lepomis_macrochirus,,
17949,3,Actinopterygii/Lepomis_macrochirus/9cf95bed974bbb24813e4c2154424d09.jpg,silverleopard101,800,600,43173,0,146,307,369,234,174,Actinopterygii,Lepomis_macrochirus,,
17953,2,Actinopterygii/Lepomis_macrochirus/ccffcad251444d00afc9daf49b75c9f0.jpg,Rob_Curtis,600,800,123720.5,0,5,123,709,349,174,Actinopterygii,Lepomis_macrochirus,,
17975,3,Actinopterygii/Lepomis_macrochirus/74621f18ce50125f618bc17423312cb9.jpg,urvasi,600,800,167631,0,0,114,787,426,174,Actinopterygii,Lepomis_macrochirus,,
17977,3,Actinopterygii/Lepomis_macrochirus/3c87729e31718eafd347782ef04062c4.jpg,edd_goodson,533,800,86008.5,0,60,119,621,277,174,Actinopterygii,Lepomis_macrochirus,,
17981,3,Actinopterygii/Lepomis_macrochirus/613279fcb492117c93e32c5de566d9d8.jpg,hcc13,800,600,88363,0,46,246,554,319,174,Actinopterygii,Lepomis_macrochirus,,
17988,3,Actinopterygii/Lepomis_macrochirus/2a966d4d1834f60f49f4e68171fc0ef1.jpg,jdoane,800,800,98812.5,0,140,301,527,375,174,Actinopterygii,Lepomis_macrochirus,,
17995,3,Actinopterygii/Lepomis_macrochirus/a3271520aa281099175458b3dcb18063.jpg,mfria631,541,800,142776,0,55,49,661,432,174,Actinopterygii,Lepomis_macrochirus,,
18003,3,Actinopterygii/Lepomis_macrochirus/421c3903c7747b7e655a7cebc6239adc.jpg,anewman,600,800,66792,0,212,168,552,242,174,Actinopterygii,Lepomis_macrochirus,,
18008,3,Actinopterygii/Lepomis_macrochirus/7210031f2ac59267c9f987aea9f9f6d1.jpg,cprokop,800,600,62059,0,105,362,458,271,174,Actinopterygii,Lepomis_macrochirus,,
18009,3,Actinopterygii/Lepomis_macrochirus/6f8eceeed9e18743627a52242c6a4ef2.jpg,toddnoel91,800,600,162877,0,27,63,442,737,174,Actinopterygii,Lepomis_macrochirus,,
18012,3,Actinopterygii/Lepomis_macrochirus/b08b8a59500a8c1f1c999c23c92dd4da.jpg,Leslie_Flint,534,800,28084,0,119,187,413,136,174,Actinopterygii,Lepomis_macrochirus,,
